Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   9, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.624, TAw acc= 54.6% |
| Epoch  10, time= 15.9s | Train: skip eval | Valid: time= 13.0s loss=1.885, TAw acc= 49.4% | lr=3.3e-02
| Epoch  11, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.335, TAw acc= 59.3% | *
| Epoch  12, time= 16.5s | Train: skip eval | Valid: time= 13.1s loss=1.380, TAw acc= 56.9% |
| Epoch  13, time= 16.8s | Train: skip eval | Valid: time= 13.5s loss=1.391, TAw acc= 57.7% |
| Epoch  14, time= 16.4s | Train: skip eval | Valid: time= 13.3s loss=1.680, TAw acc= 51.4% |
| Epoch  15, time= 17.9s | Train: skip eval | Valid: time= 14.3s loss=1.394, TAw acc= 58.8% |
| Epoch  16, time= 18.0s | Train: skip eval | Valid: time= 14.0s loss=1.514, TAw acc= 56.2% | lr=1.1e-02
| Epoch  17, time= 17.7s | Train: skip eval | Valid: time= 14.2s loss=1.304, TAw acc= 61.0% | *
| Epoch  18, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.293, TAw acc= 60.6% | *
| Epoch  19, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.273, TAw acc= 61.0% | *
| Epoch  20, time= 17.6s | Train: skip eval | Valid: time= 13.5s loss=1.282, TAw acc= 61.4% |
| Epoch  21, time= 16.5s | Train: skip eval | Valid: time= 14.0s loss=1.255, TAw acc= 62.2% | *
| Epoch  22, time= 19.0s | Train: skip eval | Valid: time= 14.3s loss=1.242, TAw acc= 62.1% | *
| Epoch  23, time= 18.0s | Train: skip eval | Valid: time= 14.0s loss=1.259, TAw acc= 61.1% |
| Epoch  24, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.257, TAw acc= 61.6% |
| Epoch  25, time= 18.7s | Train: skip eval | Valid: time= 13.9s loss=1.255, TAw acc= 61.4% |
| Epoch  26, time= 17.1s | Train: skip eval | Valid: time= 13.6s loss=1.239, TAw acc= 62.4% | *
| Epoch  27, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.253, TAw acc= 61.6% |
| Epoch  28, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.306, TAw acc= 60.5% |
| Epoch  29, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.242, TAw acc= 61.8% |
| Epoch  30, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.251, TAw acc= 61.1% |
| Epoch  31, time= 18.1s | Train: skip eval | Valid: time= 14.3s loss=1.287, TAw acc= 61.3% | lr=3.7e-03
| Epoch  32, time= 16.6s | Train: skip eval | Valid: time= 13.5s loss=1.221, TAw acc= 62.4% | *
| Epoch  33, time= 16.6s | Train: skip eval | Valid: time= 13.4s loss=1.238, TAw acc= 62.6% |
